,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,NEIGHBORHOOD,Crime_Index
380,756.0,1940.0,380000,CITY ISLAND,4.1819999999999995
381,1041.0,1925.0,390000,CITY ISLAND,4.1819999999999995
382,1200.0,1940.0,460000,CITY ISLAND,4.1819999999999995
383,2899.0,1958.0,592000,CITY ISLAND,4.1819999999999995
384,1440.0,1899.0,635000,CITY ISLAND,4.1819999999999995
385,600.0,1920.0,305000,CITY ISLAND,4.1819999999999995
386,672.0,1925.0,325000,CITY ISLAND,4.1819999999999995
387,504.0,1945.0,395000,CITY ISLAND,4.1819999999999995
388,1632.0,1901.0,650000,CITY ISLAND,4.1819999999999995
389,1250.0,1925.0,565000,CITY ISLAND,4.1819999999999995
390,1080.0,1925.0,438000,CITY ISLAND,4.1819999999999995
391,700.0,1925.0,270000,CITY ISLAND,4.1819999999999995
392,2564.0,1970.0,615000,CITY ISLAND,4.1819999999999995
393,1759.0,1965.0,384306,CITY ISLAND,4.1819999999999995
394,1325.0,1930.0,491250,CITY ISLAND,4.1819999999999995
395,1181.0,1940.0,525000,CITY ISLAND,4.1819999999999995
396,1611.0,1925.0,535000,CITY ISLAND,4.1819999999999995
397,604.0,1930.0,420000,CITY ISLAND,4.1819999999999995
398,1732.0,1960.0,570000,COUNTRY CLUB,4.406000000000001
399,1890.0,1960.0,620000,COUNTRY CLUB,4.406000000000001
400,1296.0,1950.0,485000,COUNTRY CLUB,4.406000000000001
401,1496.0,1950.0,529000,COUNTRY CLUB,4.406000000000001
402,1453.0,1960.0,553000,COUNTRY CLUB,4.406000000000001
403,1988.0,1960.0,475000,COUNTRY CLUB,4.406000000000001
404,1510.0,1940.0,450000,COUNTRY CLUB,4.406000000000001
405,572.0,1910.0,470000,COUNTRY CLUB,4.406000000000001
406,1836.0,1960.0,579000,COUNTRY CLUB,4.406000000000001
407,1771.0,1955.0,392000,COUNTRY CLUB,4.406000000000001
408,1771.0,1955.0,503000,COUNTRY CLUB,4.406000000000001
409,1696.0,1920.0,512000,COUNTRY CLUB,4.406000000000001
410,2572.0,1960.0,760000,COUNTRY CLUB,4.406000000000001
411,1020.0,1920.0,545000,COUNTRY CLUB,4.406000000000001
412,1836.0,1955.0,525000,COUNTRY CLUB,4.406000000000001
413,990.0,1925.0,460000,COUNTRY CLUB,4.406000000000001
414,1300.0,1920.0,345000,COUNTRY CLUB,4.406000000000001
415,1662.0,1920.0,545000,COUNTRY CLUB,4.406000000000001
416,1802.0,1910.0,755000,COUNTRY CLUB,4.406000000000001
