borough_id,nbhd,name,transaction_volume,property_count,average_sale_price,year
1,MORNINGSIDE HEIGHTS,Manhattan,73,17,1390416.26,2015
2,MORRIS PARK, Bronx,135,123,1279009.696,2015
2,VAN NEST, Bronx,135,123,1279009.696,2015
2,MORRISANIA, Bronx,248,225,907696.3831,2015
2,LONGWOOD, Bronx,248,225,907696.3831,2015
2,MOTT HAVEN, Bronx,104,97,1908432.923,2015
2,PORT MORRIS, Bronx,104,97,1908432.923,2015
2,MOUNT HOPE, Bronx,56,53,4355458.304,2015
2,MOUNT EDEN, Bronx,56,53,4355458.304,2015
1,MURRAY HILL,Manhattan,627,367,2733107.931,2015
3,NAVY YARD,Brooklyn,13,13,1753546.308,2015
4,NEPONSIT,Queens,24,23,986958.3333,2015
5,NEW BRIGHTON,Staten Island,122,105,319051.0082,2015
5,ST. GEORGE,Staten Island,103,97,839391.2913,2015
5,NEW DORP,Staten Island,110,107,487602.3455,2015
5,NEW DORP BEACH,Staten Island,64,63,305191.1406,2015
5,NEW DORP-HEIGHTS,Staten Island,59,57,522093.0678,2015
5,NEW SPRINGVILLE,Staten Island,281,277,372939.7367,2015
4,OAKLAND GARDENS,Queens,321,98,414130.9439,2015
5,OAKWOOD,Staten Island,32,30,475118.3438,2015
5,OAKWOOD-BEACH,Staten Island,43,43,992994.3023,2015
3,OCEAN HILL,Brooklyn,305,281,853913.4131,2015
3,OCEAN PARKWAY-NORTH,Brooklyn,347,238,822415.928,2015
3,OCEAN PARKWAY-SOUTH,Brooklyn,244,190,1023374.775,2015
3,OLD MILL BASIN,Brooklyn,146,134,419287.6438,2015
4,OZONE PARK,Queens,327,308,485240.0917,2015
3,PARK SLOPE,Brooklyn,510,410,1826000.916,2015
3,PARK SLOPE SOUTH,Brooklyn,135,130,1667482.77,2015
2,PARKCHESTER, Bronx,291,267,302362.1306,2015
2,PELHAM GARDENS, Bronx,37,37,445224.3243,2015
2,PELHAM PARKWAY NORTH, Bronx,75,73,493009.5467,2015
2,PELHAM PARKWAY SOUTH, Bronx,86,58,3462106.256,2015
5,PLEASANT PLAINS,Staten Island,27,27,642257.4815,2015
5,PORT IVORY,Staten Island,25,23,289487.4,2015
5,PORT RICHMOND,Staten Island,126,122,328654.3175,2015
5,PRINCES BAY,Staten Island,105,101,540800.9524,2015
