borough_id,region_name,name,transaction_volume,property_count,average_sale_price
3,CANARSIE,Brooklyn,454,420,496039.826
3,CARROLL GARDENS,Brooklyn,127,126,2024336.858
2,CASTLE HILL, Bronx,117,105,452486.0598
2,UNIONPORT, Bronx,117,105,452486.0598
5,CASTLETON CORNERS,Staten Island,98,98,507140.3878
1,CHELSEA,Manhattan,806,495,3373104.862
1,CHINATOWN,Manhattan,80,78,4064298.525
2,CITY ISLAND, Bronx,62,62,480306.6935
2,CITY ISLAND-PELHAM STRIP, Bronx,7,7,1240226.857
1,CIVIC CENTER,Manhattan,283,259,4466201.548
1,CLINTON,Manhattan,240,201,2981142.775
3,CLINTON HILL,Brooklyn,281,183,1555306.221
5,CLOVE LAKES,Staten Island,96,76,493520.375
2,CO-OP CITY, Bronx,2,2,335000
3,COBBLE HILL,Brooklyn,92,81,1529149.022
3,COBBLE HILL-WEST,Brooklyn,67,63,1305640.657
4,COLLEGE POINT,Queens,275,270,842277.52
5,CONCORD,Staten Island,99,94,341700.0303
5,CONCORD-FOX HILLS,Staten Island,18,16,3155513.389
3,CONEY ISLAND,Brooklyn,203,119,930779.3645
4,CORONA,Queens,466,398,853553.9464
2,COUNTRY CLUB, Bronx,113,107,470360.0973
2,CROTONA PARK, Bronx,45,40,977692.1111
3,CROWN HEIGHTS,Brooklyn,550,491,1524283.775
3,CYPRESS HILLS,Brooklyn,257,240,528922.1206
5,DONGAN HILLS,Staten Island,64,59,542688
5,DONGAN HILLS-COLONY,Staten Island,29,27,809609.8621
5,DONGAN HILLS-OLD TOWN,Staten Island,3,3,420666.6667
4,DOUGLASTON,Queens,180,116,650288.1889
3,DOWNTOWN-FULTON FERRY,Brooklyn,158,156,4568137.057
3,DOWNTOWN-FULTON MALL,Brooklyn,104,86,7269696.837
3,DOWNTOWN-METROTECH,Brooklyn,102,65,1355951.559
3,DYKER HEIGHTS,Brooklyn,170,167,965794.3588
4,EAST ELMHURST,Queens,167,155,665977.1198
3,EAST NEW YORK,Brooklyn,715,663,575055.2965
2,EAST TREMONT, Bronx,97,88,1151657.495
1,EAST VILLAGE,Manhattan,130,92,3143527.954
4,ELMHURST,Queens,544,367,1177639.248
5,ELTINGVILLE,Staten Island,212,211,515953.7123
5,EMERSON HILL,Staten Island,15,13,871166.6667
4,FAR ROCKAWAY,Queens,276,257,572889.0181
1,FASHION,Manhattan,107,92,26462595.94
2,FIELDSTON, Bronx,43,25,914860.2093
1,FINANCIAL,Manhattan,313,295,7076599.968
3,FLATBUSH,Brooklyn,401,314,1418201.367
3,EAST FLATBUSH,Brooklyn,543,471,559357.8656
3,FLATBUSH-LEFFERTS GARDEN,Brooklyn,118,97,1677189.186
3,FLATBUSH-NORTH,Brooklyn,206,184,1090308.068
1,FLATIRON,Manhattan,360,276,4812179.297
3,FLATLANDS,Brooklyn,151,121,413425.894
4,FLORAL PARK,Queens,145,128,529548.7034
4,FLUSHING MEADOW PARK,Queens,13,3,327731.2308
4,FLUSHING-NORTH,Queens,1720,1399,1011978.57
4,FLUSHING-SOUTH,Queens,638,418,537988.2226
4,FLUSHING,Queens,1179,908.5,774983.3965
2,FORDHAM, Bronx,72,68,1975979.986
4,FOREST HILLS,Queens,848,325,568883.3467
3,FORT GREENE,Brooklyn,163,119,2195220.35
5,FRESH KILLS,Staten Island,2,2,199501.5
4,FRESH MEADOWS,Queens,121,94,705346.4876
3,GERRITSEN BEACH,Brooklyn,95,93,399461.6632
4,GLEN OAKS,Queens,273,57,419363.5678
4,GLENDALE,Queens,292,239,589329.3938
3,GOWANUS,Brooklyn,108,104,2301539.102
1,GRAMERCY,Manhattan,473,240,1850131.867
5,GRANT CITY,Staten Island,106,95,441641.0566
5,GRASMERE,Staten Island,70,68,549659.4571
3,GRAVESEND,Brooklyn,417,369,765173.5156
5,GREAT KILLS,Staten Island,563,548,455681.1528
5,GREAT KILLS-BAY TERRACE,Staten Island,59,38,359268.2034
3,GREENPOINT,Brooklyn,225,218,2754139.493
1,GREENWICH VILLAGE-CENTRAL,Manhattan,569,238,3640085.504
1,GREENWICH VILLAGE-WEST,Manhattan,605,437,4242930.03
1,GREENWICH VILLAGE,Manhattan,587,337.5,3941507.767
5,GRYMES HILL,Staten Island,49,38,412794.5306
4,HAMMELS,Queens,58,56,414379.7586
1,HARLEM,Manhattan,626,532,2793061.382
1,EAST HARLEM,Manhattan,270,243,2631909.541
1,HARLEM-UPPER,Manhattan,113,103,2025923.398
1,HARLEM-WEST,Manhattan,36,33,5689904.722
2,HIGHBRIDGE, Bronx,78,71,1825535.897
2,MORRIS HEIGHTS, Bronx,78,71,1825535.897
4,HILLCREST,Queens,106,65,378678.4245
4,HOLLIS,Queens,280,260,500524.8321
4,HOLLIS HILLS,Queens,46,32,714673.913
4,HOLLISWOOD,Queens,88,54,534053.6591
4,HOWARD BEACH,Queens,399,274,480048.99
5,HUGUENOT,Staten Island,102,100,656806.7941
2,HUNTS POINT, Bronx,45,44,2110269.867
1,INWOOD,Manhattan,113,61,1865130.54
4,JACKSON HEIGHTS,Queens,752,396,758742.4149
4,JAMAICA,Queens,203,148,923563.6108
4,JAMAICA BAY,Queens,15,13,293253.2667
4,JAMAICA ESTATES,Queens,91,87,1072357.571
4,JAMAICA HILLS,Queens,66,51,561860.8636
1,JAVITS CENTER,Manhattan,30,16,27819236.93
3,KENSINGTON,Brooklyn,106,72,1175563.009
4,KEW GARDENS,Queens,328,144,533672.003
2,KINGSBRIDGE HTS/UNIV HTS, Bronx,112,72,2246695.795
2,KINGSBRIDGE/JEROME PARK, Bronx,150,101,1224461.32
1,KIPS BAY,Manhattan,212,168,5491772.241
4,LAURELTON,Queens,252,214,425820.7817
1,LITTLE ITALY,Manhattan,37,32,7850486.892
4,LITTLE NECK,Queens,231,127,601279.2771
5,LIVINGSTON,Staten Island,29,22,358178.5172
4,LONG ISLAND CITY,Queens,446,404,4677427.767
1,LOWER EAST SIDE,Manhattan,229,91,2445421.275
3,MADISON,Brooklyn,260,215,817332.8231
3,MANHATTAN BEACH,Brooklyn,66,66,1061864.106
1,MANHATTAN VALLEY,Manhattan,143,117,1945249.86
1,MANHATTAN-UNKNOWN,Manhattan,1,1,4407080
5,MANOR HEIGHTS,Staten Island,96,95,564292.2917
3,MARINE PARK,Brooklyn,300,257,587982.73
5,MARINERS HARBOR,Staten Island,170,164,445645.0471
4,MASPETH,Queens,270,247,1234686.648
2,MELROSE, Bronx,194,116,1049509.17
2,CONCOURSE, Bronx,194,116,1049509.17
4,MIDDLE VILLAGE,Queens,268,255,723733.8284
5,MIDLAND BEACH,Staten Island,263,256,369433.0684
1,MIDTOWN CBD,Manhattan,208,177,28320402.44
1,MIDTOWN EAST,Manhattan,1109,514,2293143.407
1,MIDTOWN WEST,Manhattan,2350,588,2835472.246
3,MIDWOOD,Brooklyn,319,256,966292.5831
3,MILL BASIN,Brooklyn,103,101,932637.6893
1,MORNINGSIDE HEIGHTS,Manhattan,72,16,2440587.764
2,MORRIS PARK, Bronx,177,155,453565.0226
2,VAN NEST, Bronx,177,155,453565.0226
2,MORRISANIA, Bronx,249,234,1256576.976
2,LONGWOOD, Bronx,249,234,1256576.976
2,MOTT HAVEN, Bronx,105,101,2116527.486
2,PORT MORRIS, Bronx,105,101,2116527.486
2,MOUNT HOPE, Bronx,65,59,3015658.354
2,MOUNT EDEN, Bronx,65,59,3015658.354
1,MURRAY HILL,Manhattan,503,282,2584603.342
3,NAVY YARD,Brooklyn,117,112,2046847.359
4,NEPONSIT,Queens,21,21,893500
5,NEW BRIGHTON,Staten Island,159,142,340425.3899
5,NEW BRIGHTON-ST. GEORGE,Staten Island,28,17,501568.1429
5,NEW DORP,Staten Island,121,119,531485.9174
5,NEW DORP-BEACH,Staten Island,112,104,305164.0893
5,NEW DORP-HEIGHTS,Staten Island,81,80,559543.9506
5,NEW SPRINGVILLE,Staten Island,356,347,416631.7725
4,OAKLAND GARDENS,Queens,343,125,425037.309
5,OAKWOOD,Staten Island,28,28,570690.8214
5,OAKWOOD-BEACH,Staten Island,62,62,462499
3,OCEAN HILL,Brooklyn,261,247,793948.1188
3,OCEAN PARKWAY-NORTH,Brooklyn,370,267,1140262.778
3,OCEAN PARKWAY-SOUTH,Brooklyn,239,173,906127.8661
3,OLD MILL BASIN,Brooklyn,185,167,542896.8865
4,OZONE PARK,Queens,335,321,506077.7194
3,PARK SLOPE,Brooklyn,480,396,1716417.013
3,PARK SLOPE SOUTH,Brooklyn,132,127,1719788.386
2,PARKCHESTER, Bronx,345,318,236691.8899
2,PELHAM GARDENS, Bronx,44,43,607542
2,PELHAM PARKWAY NORTH, Bronx,95,89,593368.3895
2,PELHAM PARKWAY SOUTH, Bronx,102,57,367813
5,PLEASANT PLAINS,Staten Island,45,43,649308.4889
5,PORT IVORY,Staten Island,51,47,323973.1765
5,PORT RICHMOND,Staten Island,175,170,353598.8686
5,PRINCES BAY,Staten Island,116,111,644840.4483
3,PROSPECT HEIGHTS,Brooklyn,213,152,1499103.103
4,QUEENS VILLAGE,Queens,451,382,437655.3259
3,RED HOOK,Brooklyn,36,35,1459545.194
4,REGO PARK,Queens,536,241,758870.7929
4,RICHMOND HILL,Queens,492,474,559684.2439
5,RICHMONDTOWN,Staten Island,55,54,716954.3091
5,RICHMONDTOWN-LIGHTHS HILL,Staten Island,13,13,678722.2308
4,RIDGEWOOD,Queens,259,249,1209530.301
2,RIVERDALE, Bronx,575,208,459209.2017
4,ROCKAWAY PARK,Queens,96,81,519486.6667
5,ROSEBANK,Staten Island,178,158,422938.8146
4,ROSEDALE,Queens,295,277,454523.3085
5,ROSSVILLE,Staten Island,121,121,493505.2562
5,ROSSVILLE-CHARLESTON,Staten Island,39,38,978269.4359
5,ROSSVILLE-PORT MOBIL,Staten Island,7,7,3821848.286
5,ROSSVILLE-RICHMOND VALLEY,Staten Island,13,12,659245.3077
2,SCHUYLERVILLE, Bronx,188,169,779404.75
2,PELHAM BAY, Bronx,188,169,779404.75
3,SEAGATE,Brooklyn,40,40,599753.9
3,SHEEPSHEAD BAY,Brooklyn,636,455,609821.5362
5,SILVER LAKE,Staten Island,46,46,578344.1957
4,SO. JAMAICA-BAISLEY PARK,Queens,442,393,375322.138
1,SOHO,Manhattan,281,248,6856526.342
2,SOUNDVIEW, Bronx,369,325,1081056.959
5,SOUTH BEACH,Staten Island,171,166,452811.5439
4,SOUTH JAMAICA,Queens,405,352,375917.5457
4,SOUTH OZONE PARK,Queens,343,324,453759.7726
1,SOUTHBRIDGE,Manhattan,131,37,2791699.076
3,SPRING CREEK,Brooklyn,4,4,2500020.75
4,SPRINGFIELD GARDENS,Queens,399,358,504775.3584
4,ST. ALBANS,Queens,431,383,385760.1346
5,STAPLETON,Staten Island,87,81,374991.908
5,STAPLETON-CLIFTON,Staten Island,69,69,401727.6087
4,SUNNYSIDE,Queens,211,128,1186340.038
5,SUNNYSIDE,Staten Island,46,46,450544.913
3,SUNSET PARK,Brooklyn,354,328,1170197.802
2,THROGS NECK, Bronx,233,220,439476.4635
5,TODT HILL,Staten Island,29,29,1638817.586
5,TOMPKINSVILLE,Staten Island,32,31,409614.2813
5,TOTTENVILLE,Staten Island,205,200,608122.2976
5,TRAVIS,Staten Island,83,81,537097.8313
1,TRIBECA,Manhattan,463,455,7798594.693
1,UPPER EAST SIDE (59-79),Manhattan,1562,776,2592769.143
1,UPPER EAST SIDE (79-96),Manhattan,1286,819,2437840.37
1,UPPER EAST SIDE (96-110),Manhattan,51,33,2490842.51
1,UPPER EAST SIDE,Manhattan,966.3333333,542.6666667,2507150.674
1,UPPER WEST SIDE (59-79),Manhattan,1138,629,2564722.81
1,UPPER WEST SIDE (79-96),Manhattan,737,429,2347387.986
1,UPPER WEST SIDE (96-116),Manhattan,337,184,2239925.404
1,UPPER WEST SIDE,Manhattan,737.3333333,414,2384012.067
2,VAN CORTLANDT PARK, Bronx,4,1,215625
2,WAKEFIELD, Bronx,200,185,557559.915
1,WASHINGTON HEIGHTS LOWER,Manhattan,127,98,4080440.37
1,WASHINGTON HEIGHTS UPPER,Manhattan,298,114,1829788.295
5,WEST NEW BRIGHTON,Staten Island,234,224,424870.5726
2,WESTCHESTER, Bronx,96,93,1102138.51
5,WESTERLEIGH,Staten Island,160,159,494768.3688
4,WHITESTONE,Queens,296,220,729602.5338
2,WILLIAMSBRIDGE, Bronx,343,298,442751.8921
3,WILLIAMSBURG-CENTRAL,Brooklyn,126,123,800773.0556
3,WILLIAMSBURG-EAST,Brooklyn,306,297,2215010.846
3,WILLIAMSBURG-NORTH,Brooklyn,253,248,3979139.719
3,WILLIAMSBURG-SOUTH,Brooklyn,343,336,1889705.534
3,WILLIAMSBURG,Brooklyn,257,251,2221157.289
5,WILLOWBROOK,Staten Island,156,154,544189.3077
3,WINDSOR TERRACE,Brooklyn,118,84,987482.6864
4,WOODHAVEN,Queens,293,281,589762.9454
2,WOODLAWN, Bronx,77,51,553378.2727
5,WOODROW,Staten Island,107,103,615208.1028
4,WOODSIDE,Queens,284,158,717591.9366
3,WYCKOFF HEIGHTS,Brooklyn,57,56,1363859.193
