borough_id,region_name,name,transaction_volume,property_count,average_sale_price
4,AIRPORT LA GUARDIA,Queens,2,2,776250
1,ALPHABET CITY,Manhattan,112,88,3205809.179
5,ANNADALE,Staten Island,128,125,752266.6172
5,ARDEN HEIGHTS,Staten Island,241,233,440622.9502
5,ARROCHAR,Staten Island,15,15,554193.0667
5,ARROCHAR-SHORE ACRES,Staten Island,22,17,436090
4,ARVERNE,Queens,150,141,452504.8467
4,ASTORIA,Queens,573,464,1321616.12
3,BATH BEACH,Brooklyn,193,172,925934
2,BATHGATE,Bronx,66,60,1130869.894
3,BAY RIDGE,Brooklyn,560,413,1242405.309
2,BAYCHESTER,Bronx,317,281,496001.3628
4,BAYSIDE,Queens,774,547,793283.5362
2,BEDFORD PARK,Bronx,164,126,1654545.982
2,NORWOOD,Bronx,164,126,1654545.982
3,BEDFORD STUYVESANT,Brooklyn,820,788,1258487.289
4,BEECHHURST,Queens,121,81,655758.157
4,BELLE HARBOR,Queens,71,64,839537.1268
4,BELLEROSE,Queens,161,155,674340.4161
2,BELMONT,Bronx,41,41,2281424.195
3,BENSONHURST,Brooklyn,282,269,1118810.816
3,BERGEN BEACH,Brooklyn,118,116,714865.1271
5,BLOOMFIELD,Staten Island,3,3,1331791.667
3,BOERUM HILL,Brooklyn,141,139,2500939.397
3,BOROUGH PARK,Brooklyn,554,545,1490433.46
4,BREEZY POINT,Queens,86,3,452906.9767
4,BRIARWOOD,Queens,161,78,477139.7019
3,BRIGHTON BEACH,Brooklyn,249,175,608830.2209
4,BROAD CHANNEL,Queens,39,38,294523.5641
2,BRONX PARK,Bronx,3,3,1538333.333
2,BRONXDALE,Bronx,245,214,596654.1388
3,BROOKLYN HEIGHTS,Brooklyn,313,208,2200754.958
3,BROWNSVILLE,Brooklyn,124,116,638657.4919
5,BULLS HEAD,Staten Island,256,245,506189.1914
3,BUSH TERMINAL,Brooklyn,18,18,1831068.611
3,BUSHWICK,Brooklyn,385,370,1183529.145
4,CAMBRIA HEIGHTS,Queens,120,110,461968.35
3,CANARSIE,Brooklyn,528,499,532192.5663
3,CARROLL GARDENS,Brooklyn,124,115,2102286.065
2,CASTLE HILL,Bronx,124,115,655429.0161
2,UNIONPORT,Bronx,124,115,655429.0161
5,CASTLETON CORNERS,Staten Island,96,96,599265.1875
1,CHELSEA,Manhattan,521,370,9716237.334
1,CHINATOWN,Manhattan,86,80,3586296.814
2,CITY ISLAND,Bronx,66,64,513568.0303
1,CIVIC CENTER,Manhattan,113,97,4824479.221
1,CLINTON,Manhattan,222,180,3328791.167
3,CLINTON HILL,Brooklyn,222,158,1343126.671
5,CLOVE LAKES,Staten Island,50,38,549869.56
